Doc_ID,Form_Code,Title,Category,Priority,Status,Cadets_Covered,Deadline,File_Name,Last_Updated,Notes
"doc-enr-01","NCC/ENR/01","Form I - Senior Division Enrollment Applications","Enrollment","Mandatory","Verified & On File",160,"31 Aug (Annual)","sd_enrollment_forms_2026.pdf","2026-08-15","Signed counterfoils for 160 SD/SW cadets with Aadhaar & College ID verification."
"doc-enr-02","NCC/ENR/02","Form II - Parent/Guardian Consent & Indemnity","Enrollment","Mandatory","Verified & On File",160,"31 Aug (Annual)","parent_consent_declarations.pdf","2026-08-15","Signed parental declarations acknowledging military physical drill & camp training."
"doc-med-03","NCC/MED/03","Form III - Medical Fitness & Blood Group Certification","Medical","Mandatory","Verified & On File",160,"05 Sep (Annual)","medical_fitness_master_2026.pdf","2026-08-18","Certified fitness certificates from Regimental Medical Officer (RMO) / Govt Surgeon."
"doc-cmp-04","NCC/CMP/04","Combined Annual Training Camp (CATC) Nominal Roll","Camps","High Priority","Awaiting CO Approval",45,"15 Oct (Pre-Camp)","catc_ii_nominal_roll_45cdt.xlsx","2026-08-20","Nominal roll of 45 detailed cadets with mess, kit, and weapon allotment for CATC-II."
"doc-cmp-05","NCC/CMP/05","Camp Risk Clearance Indemnity Bonds","Camps","Mandatory","Pending ANO Signature",45,"18 Oct (Pre-Camp)","camp_indemnity_bonds_bundle.pdf","2026-08-22","Individual risk indemnity bonds for obstacle training & night range firing."
"doc-rng-06","NCC/RNG/06","Range Safety Protocol & Ammunition Expended Certificate","Firing & Armory","Statutory","Verified & On File",80,"Within 48h of Firing","ammo_expended_voucher_2026.pdf","2026-08-10",".22 Deluxe Rifle (800 rounds) & 7.62mm SLR range firing return countersigned by Range Officer."
"doc-exm-07","NCC/EXM/07","'B' Certificate Examination Eligibility Master List","Certificates","High Priority","Verified & On File",52,"10 Dec (Annual)","b_cert_eligibility_roster.pdf","2026-08-21","52 2nd Year Cadets with min 75% parade attendance and 1 mandatory camp completed."
"doc-exm-08","NCC/EXM/08","'C' Certificate Exam Nomination & Service Record","Certificates","High Priority","Awaiting CO Approval",28,"15 Jan (Annual)","c_cert_nomination_master.pdf","2026-08-21","28 3rd Year Cadets with B cert pass and 2 camps completed."
"doc-fin-09","NCC/FIN/09","Cadet Refreshment Allowance Voucher & Acquittance Roll","Finance","Mandatory","Verified & On File",160,"Monthly","refreshment_acquittance_aug2026.pdf","2026-08-23","Acquittance roll with biometric & counter signatures for parade refreshments."
"doc-str-10","NCC/STR/10","Uniform & Equipment Issue Voucher (IV/RV) Register","Stores","Regular","Verified & On File",160,"Quarterly","uniform_stores_issue_ledger.pdf","2026-08-12","Issue vouchers for Berets, DMS Boots, Web Belts, Khaki Drill Uniforms."
